,customer_id,is_subscriber,is_impatient,queue_name,day,arrival_time,num_items_ordered,item1,item2,item3,item4,item5,item6,item7,departure_time,action,wait_time
0,1502,False,True,regular_queue,1,1.020060287274801,4,2,7,7,8,0,0,0,3.5200602872748012,served,2.5
1,483,False,True,regular_queue,1,1.3416843513497665,3,1,2,5,0,0,0,0,5.520060287274801,served,4.178375935925034
2,3903,True,False,premium_queue,1,3.769160274133035,2,3,1,0,0,0,0,0,5.769160274133035,served,2.0
3,1106,False,True,regular_queue,1,1.8897305107462574,3,6,6,2,0,0,0,0,6.639730510746258,served,4.75
4,3827,False,False,regular_queue,1,2.1114221799099377,1,1,0,0,0,0,0,0,7.139730510746258,served,5.02830833083632
5,97,False,False,regular_queue,1,4.96695021510652,2,1,1,0,0,0,0,0,7.639730510746258,served,2.672780295639738
6,1557,False,False,regular_queue,1,5.377319144987603,2,7,7,0,0,0,0,0,8.139730510746258,served,2.7624113657586546
7,4541,True,False,premium_queue,1,6.302968611943618,1,4,0,0,0,0,0,0,8.30296861194362,served,2.000000000000001
8,577,False,False,regular_queue,1,9.919183797633638,4,6,8,6,7,0,0,0,12.169183797633638,served,2.25
9,690,False,True,regular_queue,1,11.68764478221914,1,3,0,0,0,0,0,0,13.669183797633638,served,1.9815390154144978
10,4674,False,True,regular_queue,1,11.946283752566305,2,1,2,0,0,0,0,0,15.169183797633638,served,3.222900045067332
11,3175,True,False,premium_queue,1,12.211279628958307,2,4,2,0,0,0,0,0,15.211279628958307,served,3.0
12,1025,False,False,regular_queue,1,12.665145658878423,2,6,6,0,0,0,0,0,15.919183797633638,served,3.254038138755215
13,376,True,True,premium_queue,1,17.544474979103796,3,2,2,10,0,0,0,0,18.794474979103796,served,1.25
14,3456,False,False,regular_queue,1,15.424298452223951,3,2,4,10,0,0,0,0,19.169183797633636,served,3.744885345409685
15,749,False,False,regular_queue,1,16.730402908936334,4,7,8,7,2,0,0,0,21.669183797633636,served,4.938780888697302
16,1467,False,False,regular_queue,1,23.275843231439385,3,2,5,2,0,0,0,0,,balked,
17,2336,False,False,regular_queue,1,18.30133932690433,3,2,6,2,0,0,0,0,23.419183797633636,served,5.117844470729306
18,39,True,False,premium_queue,1,17.923473022662463,3,6,4,9,0,0,0,0,23.544474979103796,served,5.621001956441333
19,2281,False,True,regular_queue,1,20.890108617473636,2,1,6,0,0,0,0,0,25.140108617473636,served,4.25
20,4302,True,False,premium_queue,1,22.25151674592552,3,1,4,5,0,0,0,0,26.544474979103796,served,4.292958233178275
21,356,False,False,regular_queue,1,18.609061081184848,4,4,2,10,5,0,0,0,27.169183797633636,served,8.560122716448788
22,2859,True,False,premium_queue,1,25.362131682825098,3,3,6,6,0,0,0,0,28.794474979103796,served,3.432343296278699
23,224,False,False,regular_queue,1,20.93837111507953,2,1,4,0,0,0,0,0,29.669183797633636,served,8.730812682554106
24,3377,False,False,regular_queue,1,21.48682932286318,1,10,0,0,0,0,0,0,29.73682932286318,served,8.25
25,4952,True,False,premium_queue,1,27.406349487372804,2,6,7,0,0,0,0,0,30.044474979103796,served,2.6381254917309924
